lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8438, WER 1.166667
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.6875, WER 1.333333
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.0000, WER 0.000000
lm=None, beam=0, bs=1, test_aug:0, horflip True: CER 0.8750, WER 1.666667
